"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456"
9.63592523376748,-0.0924160539809541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.82831699966927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0956298655577147,0.130827970019926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04979147198886,0,0,0,0,0,-0.430565736504787,4.78380587431947,0,0.00878901494511942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.250347109103244,-0.0664000999170535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.860446303353298,-1.41542519507306,0,0,0,-0.0472810226597468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248861782033822,0,0,0,0,0,0,0,0,0,0,0,0,-0.130340231696052,0,0,0,0,0,0,0,0,0.102527762272172,0,0,0,-0.00369037624680594,0,0.0814221043749797,0,0,0,3.58854749423977,-3.13345370926806,0,0.0399905644021889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261270380940162,0,0,0,0,0,-0.100624898206808,0,0,0,0,0,0,0.085297358110316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168054648269761,0,-0.0743484807939387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0621495455758823,0,0.0522954549510124,0,0,0,0.226342257239364,-0.358862777609975,0,0,0,0,-0.133200727414363,0,0,0,-0.00441745046260027,-0.0421070789393181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00909698858149845,0,0,0,0,0,0,0,-0.00447024145862933,0,0,0,0,0,0,0,0,0,0,0.0120374307029869,0,0,0,0,0,0.0799963885842807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109819078736129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723349367692207,0.00619161736308341,0,0,0.0458395548225108,0,-0.107559342210457,0,0,0,0,0,0,0,0,0,0,0,0,-0.00184971244807098,0,0,0,0,0,0,0,0,0,0,0.0289016613544793,0,-0.0405697210185517,0,0,0,0,0,0,0.00586399321549333,0,0,0,0
-0.195438385563064,3.02271086087758,0,0,0,0,0,-0.0629609591707131,0,0,0,-0.0570523988883494,0,0,0,0,0,-0.00566289616864411,0,0.0648993325290976,-0.00768833950810534,-1.83145867454488,0,0.0492748560122116,-0.122200965834821,-0.0206759553392304,0,0,0,0,-0.232807377531976,0,0,0,0.0131934729198121,0.105131236175427,0,0,0,-0.0460116196091712,-0.12735645610885,0,0,0,0.0466165381214645,0,0,0,0,0.0188596172147706,-0.0173173032775472,0,-0.0662676672165936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175431051686628,0,0.04314311113224,-0.141991196167386,-0.0576315070152544,0,0,0.0452983483561517,0,0,0,0,0.0906010070766704,0,0,0,0.0674245078279497,0,0,0,0,0,0,0,0,0,0.0247687366887537,0.0322312011971701,0,0,0,0,-0.0349992565308402,0,0.0980219706021628,0,0,0,0.103300224546275,0,0.0480020181381744,0,0,0,0,0,0,0,-0.0895589140814334,0.41731561131194,0,0,0,0.0526762625219641,0,0,0,-0.0310245212815219,0,-0.0271227104526691,0,0,0,0.0526250259498289,0,0,-0.429034627921617,0,0,0,-0.0294889566154486,-0.10361991409051,0,0,0,0,0.0275233470843289,0,-0.0322362094175027,0.00901534495740294,0,-0.143718813207656,0,-0.00688930976846607,0,0,0,0.0182568761112414,0,0,0.0465901353929727,0,-0.000615503565186277,0,0,0,-0.169043544233656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00508425021040193,0,0,0,0,0,-0.00406837514937599,0.0309996042594706,0,0,0.0572833717470667,0,0,0,0,0,0,0,0,0,0,0.0404326153040772,0,0,0,0,0,-0.0473861884123773,0,0,-0.0751602116683088,0,0.00223175513783855,-0.00827564108106612,0,-0.0671839758508153,0,0,0.131364457958616,0,0,0,-0.114936918425063,-0.0105479131528187,0,0,0,0,-0.025318832940315,0,-0.101074313408746,-0.122356104135386,0.182905267424358,-0.102308340502647,0,0,0,0,0,0,-0.0373783939537528,0,0,-0.0134322604956333,0,0,0.0267251582379713,0,0,0,-0.0804407746590257,0,0,0,0,-0.00232013388253044,0,0,0.212494044393215,0,0,-0.0332637365835874,0,-0.0715034383022075,-0.000842770713175155,-0.0551368953303039,-0.0178243517686778,0.0300305990565094,0,0.0532613392521488,0.00532912909337781,0.000792382330049029,0,0.0902371338994163,0,0,0,0.00971013154214209,0,0,0,0,0,-0.0531608690576337,0,0,0,-0.146646992184033,0,0,0,0,0,0,0,0,0.0553844134146331,0,0,0,-0.0157602548959102,0,0.0210529056943774,0,0,0.020949509855004,0,0,0,0,0,0,0,-0.040135224639762,0,0,-0.104486324729354,0,0,-0.0096812184611968,0,0,0,0,0,0,0.245579658571837,0,-0.140012447893842,0.0838485423446433,0,-0.0075937110257068,0,0.127452193144866,-0.041490725304788,0,-0.0413819204570113,0,0,0,0,0,0,0,0,0,0.0582712963413986,0.0980653474127461,0,0,0,0,0,0,0,0,-0.0568447911699639,0,0,0,0,0,0,0,0,-0.161589892316076,0,0,0,0,0,0,0,-0.00394296850257509,0,0,-0.0801900423232067,0,0,0,0,0,0,0,0,0.192683666308836,0,0,0,-0.101188234083219,0,0,0,0,0.061095622442761,-0.0396946149788449,0,0,0,0,0,0,-0.0210974479885104,0,0,0,0,0,0,0,0,0,0,0,-0.00620655820635425,0,0,-0.0169863159080314,-0.0562710416860966,0,0,-0.039846871647377,0,0,0,0,0,0.097263154477045,0,0,0,0,0,0,0,0,-0.00873389124019173,0,0,0,0.00146079366018012,0,0,-0.124991171617713,0,-0.0216078535384376,0.000313448372058012,-0.0847336098551087,0,0,0,0.0374106514436772,0,0.0229106286585054,0,0,0,0,-0.0999587878218305
-0.0584160829654132,-0.00280178368224499,4.39325744940254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153395164709667,0,0,0,0,-0.393225495575969,0,0,0,-0.0557855285016572,-0.111739617618647,-0.00720666977940298,0,0,0,0,0,0,0,0,0.0500157317952772,0,0,0,0,0,0.054965400830984,0,0,-0.083258835885155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227696354779604,0.0391168753040672,-1.23763404258233,2.88631905092917,0,0,-0.117631081154918,0,0.0685190326349872,0,0,0,-0.00227492038509699,0,0,0,0,0,0,0.0274394015136208,0,0,0,0,0,0,0,0,0,0.238725503803476,0,0,0,0,0,0,0.00742208552572606,0.0957042699810383,0,0,0,0,0,0,0.0418044001229959,0.0467824766091282,0,0,0,0,0,0,-0.283102688653911,0.982602123812117,0,-0.00904857697564158,0,0,0,0,-0.0603455241494798,0,0,0,0,0,0,-0.0511312729980638,-0.0481916579856989,0,0,0,0,0,0,0,0,0,-0.390316760727255,-0.0602263872058643,0,0.0525498112754163,0,0,0,0.00321539947614427,0,0,0,0.0610005614724312,0,0,0,0,0,0,0,0,0,0,0,-0.082279944233533,0,0,0,0,0,0,-0.0325785608035504,-0.0702251137702125,0,0,0,0,0,0.0634181228970805,0,0.0446471008076425,0,0,-0.167740843819702,0,0,0,0,0,0,-0.024006671155938,0,0,0,0,0,0.00976688623337864,0,0,0,0,0,-0.13707700504598,0,0,-0.37069522737905,-0.148078701460919,0,0,0.415435271152625,-0.0945349431590948,0,-0.0538151145364408,-0.146891041481745,0,0,0,-0.110326246603184,0,-0.0390702381642383,0,0.0493262440494523,0,0,0,0,-0.00323542936254898,0,0,0,0.274000824123356,0,0,0,0,-0.082808117061032,0,0,0,0,-0.00116484876582389,0,0,0.0061026633155036,0,0,-0.113959730692306,0,0,0,0,-0.020344738898493,0.014434641252423,0,0,0,0,0,0,-0.112087827872729,-0.0466509244353629,0,0,0,0,0.123428089910458,-0.0358857314301066,0,0,-0.00385901477900544,-0.120661501771092,-0.0174548585426423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111504003190108,-0.0512841808350524,0,0,0.0904352200488002,0,0,0,0,0,0.13707274289337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143804814616908,0,0,0,-0.0287692968594868,0,-0.169403547384431,0,-0.140810217718179,0.039436378258559,0,0,0.11311597786016,0,0,0.116024610799353,-0.226073288347785,0,0,0.0276243699348609,0,-0.0174413756980484,0,-0.203005768536184,0,0,0.016605449446829,0.0329233027514365,0,0.0157537722964941,-0.657537934492936,0,0,0,0,0,0,0,0,-0.0349993106461425,0,0,0,0,0,0,0,-0.0847152895561957,0,0.0231614215713183,0,0.0306328158822364,0,0,0,0,0,0,-0.00914837984488548,0,0.106949864772245,0,0,0,0.0153644426755373,0,0,0.0898632400396328,0.00850291070021326,0,0,0.12964424474333,0,0,0,0,-0.00170558168888804,0,0,0,0,0.0156820725467949,0,0,0,0,0,0,0,0,0,0,0,0,-0.353320014077619,-0.0425675947748922,0,0,0,0,0,-0.0206997849094881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00537737574590967,0,0,0,-0.0138817626776922,-0.119079852933166,-0.045298655564335,0,0,0,0,-0.236618345768618,0.0930866103896631,0,0,0,0,0,0,0,0,0.0130800664717504,0,-0.0121035408807871,0,0
0,0,0,34.0945983879403,0,0.00359985879352316,-0.181747021918552,0,0,-0.0670819428560039,0,0,0,0,0,0,0,0,0,0,0,0,-12.2876587202428,0,-0.768898230267723,0,-17.5833529367722,0,-0.00737335211295836,-5.90255448279905,-0.369545253876135,0,0,0,0,-0.242855078941949,0,0,0,0,0,0,0,-0.0171256998392788,-0.274877363352745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795128908375277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182036130280102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25.3957743823821,0,0,0.333743337384738,0,0,0,-0.0594990081679546,0,0,-2.48624567838401,0,0,0,0,0,0,0,0,-0.226079632715464,0,0,0,0,0,-24.7519164310657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35008813541608,-0.0237909709114883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115689362040665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463159774247212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467062933500798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106077769066831,0,0,0,0,0,0,0,0,0,-0.179211564129603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423399143117808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199657475372504,0,0,0,0,0,0,0,0,0,0,-0.318292730482485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167899118546035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.437768899886073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569460054799262,0,0,0,0,0,1.05897774260297,0,0,0,0,0,0,-0.0315444068159757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104138129413178,0,0,0,0,0,0,0,0,0,-0.535647626837812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.013533530829397,0,0,0,9.78717883556857,0.0941526373506981,0,0,0,0,0,0,0,0,-0.00275037142500262,0,0,0,0,0,0,0,0,0,0,0,0.00141662903425826,0,0,0,0,0,0.148776715139252,-11.8801900410673,13.3463415091158,0,-0.483119911559837,-0.29967533816538,-0.537309125601571,0,0,0,0,0.00572851133926399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272065735286355,0.0102635822114837,0,0,0,0,0,0,0.112975980689362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527644848866195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101385268626862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496943013720353,0,0,0,0,0,0,0,0,0.00134140322690105,0,0,0,0,0,0,0,-0.0221206268856744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937595525518016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442984659876938,0,0.0757335170091362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020294663432396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432077309866981,0,0,0,0,0,-0.0191021186925324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561377760831342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04902904139177,0,0,0,0,0,0.000375620808470883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005100974232558,0,0.0381858215763833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019122133836517,0,0,0,0,0,0,0,0,0,0,0,0,0.0566993356240274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0374717619874292,0,0,0,-0.0572151777865625,0,0,0,0,0,0,0,0
0,0,0,0,-0.00911555431272421,0,29.1141561942673,0,0,0,0,0,0,0,-0.0595103338852487,0,0,0,0,0,0,0,0,0,0,0,-0.554501425388006,-0.274856585345006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.47280786630892,-5.75778030855756,-11.6778021816042,0,-16.0625781239248,0,0,0,0,0,0,-0.188997313355848,0,0,0,-0.50555908846388,0,0,0,0,0,0,0.00488246970257266,0.0209551421643489,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406332553478698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104421489943147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656736189833335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188417119649183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125592016647526,0,0,0,0,0,0,0,0,0,-0.147404877026117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0273008960651446,-0.00300249044846829,0,0,0,0,0,17.9985366106912,0,0.429358348531725,0,0,0,0,0,0,0,0,0,0,-0.0994533081931663,0,0,0,0,0,0,0,0,-0.131214409516905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02670894275423,0,-0.0602065677391095,-0.0340212008306629,0,0,0,-0.064862000734608,0,0,-15.7201583619224,0,0,0,0,0.415038200182178,0.168257278585238,0.109890274923437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500894163571681,0,0,-0.0963929741118688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151436381375243,0,0,-1.64028611965435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096162440794151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212136036374227,0,0,0,0,0,0,0,0.0980604209066605,0,0,0,0,0,0,0,0,0,0,0,0,0.00153679936168882,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204484333318535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0846962603200401,-0.0452705228940125,0,0,0,0,0,0,0,0,0,0,0,-0.0675836365004381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314269837616726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0787879435032508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13248239755264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083398683218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334635519920218,0,0,0,0,0,0,0,-0.425265286266367,0,0,0,0,0,0,0,0,0.191134040247007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152387397039522,0,0,0,0,0,0,0,0,0,0,-0.0740153838432824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-0.00171003100671881,0,28.1650659913529,0,0,0,0,0,0.341617740997167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.263349118880421,0,0,0,0,0,0,0,-10.2747873123358,-3.70817538187088,-5.57035858419334,0,-5.08095178327392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305021435377554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18600683012144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236741415790567,0,0,0,0,0,0,-0.366762654968826,0,0,-0.569469066545039,0,0,0,0,0,-0.0217577612723932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.895277423837875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141684793665187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.83149579853526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568651457650741,0,-0.224295171016142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0167967619931753,0,0,0,0,0.148806511063045,0,13.3474398623148,0,0,0,-0.584035179588156,0,-0.0121080268653488,0,0,0,0,0,0,0,-0.228715865669756,0,0.0321474038121961,0,0,-0.19020386011101,0,0,0,0,0,0,0,0,0,0.0163966591190356,0,0,0,0,0,0,0,0,0,0,0.184882940449032,0,0,0,0,0,0,0,0,0,-0.343245739759453,-13.0800662015238,2.3286667514821,1.6562761246222,0,0.201851619336892,0.112074761747156,0,0,0,0.103535367845976,0,-0.111064494738539,0,-0.0725125609754834,0,0,0,0,0,-0.147495372430625,0,0,0,0,0,0,0,0,0,0,0.196886769613392,0,0,0,0,0,0,0,0,-0.0026276989433906,0,0,0,0,0,0,0,0,0,0,0.0363243351029765,0,0,0,0,0,0,0,0,0,0,0,0,-2.39224752390485,0,0,0,0,0,0,0,0.0981300626329894,0,0,0,0,0,0,0,0,-0.045942313180123,0,0,0,-0.00454152563929125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245671625859319,0,0,0,0,0,-0.00521581573834882,0,0,0,0,-0.178855730353399,0,0,0,0.14243864033504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066663520102468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173089087869161,0,0,0,0,0,0,0,0,0,0,0,-0.0313313480406165,0,0,0,0,0,0,0,0,0,-0.125250694526785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078796288279989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549150800020317,0,0.117416406097675,0,0,0,0.00181378274990492,0.0529116173114648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131743961638408,0,0,-0.212326112107793,0,0,0,-0.0449682353080689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00101772193822638,0,0,0,0,0,0,0,0,0,0,0,0,-0.0878040337927036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
